"Trade Id"	Market	"Opened Datetime"	"Closed Datetime"	Quantity	"Opened Price"	"Closed Price"	Result	Swap	Income
07101627-0000-5552-0000-000080b75f74	"Germany 40"	"2023-04-27 07:13:00"	"2023-04-27 07:22:04"	-6	15739.4	15734.9	27	0	27
07101627-0000-5552-0000-000080b75d89	"Germany 40"	"2023-04-27 07:06:43"	"2023-04-27 07:11:28"	6	15717.9	15740.4	135	0	135
07101627-0000-5552-0000-000080b757ad	"Germany 40"	"2023-04-27 04:36:59"	"2023-04-27 06:36:31"	6	15765.1	15770.4	31.8	0	31.8
07101627-0000-5552-0000-000080b75295	"Germany 40"	"2023-04-26 19:35:56"	"2023-04-26 20:19:21"	5	15722.4	15754.9	162.5	0	162.5
07101627-0000-5552-0000-000080b74706	"Germany 40"	"2023-04-26 14:32:23"	"2023-04-26 15:45:07"	-6	15765.4	15798.9	-201	0	-201
07101627-0000-5552-0000-000080b73691	"Germany 40"	"2023-04-26 10:02:15"	"2023-04-26 10:39:19"	-4.69	15773.3	15769.3	18.76	0	18.76
07101627-0000-5552-0000-000080b73657	"Germany 40"	"2023-04-26 10:00:24"	"2023-04-26 10:01:37"	-4.68	15774.8	15770.8	18.72	0	18.72
07101627-0000-5552-0000-000080b72cd8	"Germany 40"	"2023-04-26 08:30:01"	"2023-04-26 09:51:55"	-6	15771.3	15764.8	39	0	39
07101627-0000-5552-0000-000080b72844	"Germany 40"	"2023-04-26 08:06:41"	"2023-04-26 08:25:02"	6	15704.8	15751.8	282	0	282
07101627-0000-5552-0000-000080b72629	"Germany 40"	"2023-04-26 07:56:46"	"2023-04-26 07:59:51"	6	15720.8	15729.8	54	0	54
07101627-0000-5552-0000-000080b71de1	"Germany 40"	"2023-04-26 07:22:24"	"2023-04-26 07:47:49"	6	15780	15728.8	-307.2	0	-307.2
07101627-0000-5552-0000-000080b70523	"Germany 40"	"2023-04-25 15:11:04"	"2023-04-25 15:45:08"	4.61	15881	15875.5	-25.36	0	-25.36
07101627-0000-5552-0000-000080b70256	"Germany 40"	"2023-04-25 14:20:24"	"2023-04-25 15:10:28"	-4.8	15833.5	15878	-213.6	0	-213.6
07101627-0000-5552-0000-000080b6ff2c	"Germany 40"	"2023-04-25 13:35:16"	"2023-04-25 14:15:31"	4.93	15869.3	15837	-159.24	0	-159.24
07101627-0000-5552-0000-000080b6f28e	"Germany 40"	"2023-04-25 08:50:23"	"2023-04-25 13:15:30"	4.97	15850.6	15840.8	-48.71	0	-48.71
07101627-0000-5552-0000-000080b6e8f0	"Germany 40"	"2023-04-25 07:30:40"	"2023-04-25 08:40:05"	-5.2	15808.9	15858.6	-258.44	0	-258.44
07101627-0000-5552-0000-000080b6d815	"Germany 40"	"2023-04-24 17:39:16"	"2023-04-24 18:24:00"	5	15877.9	15871.9	-30	0	-30
07101627-0000-5552-0000-000080b6d271	"Germany 40"	"2023-04-24 14:40:15"	"2023-04-24 15:45:08"	-5.17	15871.9	15863.9	41.36	0	41.36
07101627-0000-5552-0000-000080b6b6e6	"Germany 40"	"2023-04-24 07:40:32"	"2023-04-24 14:35:35"	5.07	15861.3	15885.4	122.19	0	122.19
07101627-0000-5552-0000-000080b67967	"Germany 40"	"2023-04-21 07:35:20"	"2023-04-21 07:52:45"	-5.36	15708.5	15760.2	-277.11	0	-277.11
07101627-0000-5552-0000-000080b65b6c	"Germany 40"	"2023-04-20 13:55:35"	"2023-04-20 15:45:08"	5.19	15766.5	15799.5	171.27	0	171.27
07101627-0000-5552-0000-000080b61269	"Germany 40"	"2023-04-19 09:50:56"	"2023-04-19 11:40:38"	-5.24	15841.3	15857.3	-83.84	0	-83.84
07101627-0000-5552-0000-000080b60dc6	"Germany 40"	"2023-04-19 08:45:17"	"2023-04-19 09:50:18"	5.36	15865.3	15837.3	-150.08	0	-150.08
07101627-0000-5552-0000-000080b5eef7	"Germany 40"	"2023-04-18 14:15:19"	"2023-04-18 15:45:08"	-5.31	15877.9	15867.4	55.76	0	55.76
07101627-0000-5552-0000-000080b5d82d	"Germany 40"	"2023-04-18 08:55:36"	"2023-04-18 14:04:31"	5.15	15835.5	15875.2	204.46	0	204.46
07101627-0000-5552-0000-000080b5d42b	"Germany 40"	"2023-04-18 07:55:31"	"2023-04-18 08:50:16"	-5.26	15811.5	15834.5	-120.98	0	-120.98
07101627-0000-5552-0000-000080b59844	"Germany 40"	"2023-04-17 07:05:34"	"2023-04-17 09:18:33"	0.1	15864.1	15818.1	-4.6	0	-4.6
